Natural_language_description,Code1,Code2
using regular expression rm ls,"find . -maxdepth 1 -regextype posix-extended -regex '.*/file[1-9]{2,3}.txt' -delete
","rm file[1-9][1-9][1-9].txt file[1-9][1-9].txt
"
pass list file names xargs checking file exists,"command1 |
xargs sh -c 'for p do [ -f ""$p"" ] && printf ""%s\n"" ""$p""; done' sh |
xargs command 2
",None
run curl commands parallel using xargs inputs csv,"awk -F, '{print ""curl '\''"" $4 ""'\'' > '\''"" $1"".jpg'\''""}' < input.csv | xargs -P2 -I {} sh -c '{}'
","parallel --colsep , 'curl {4} > {1}.jpg' :::: input.csv
"
stop xargs badly merging output multiple processes,"echo -n $IPs | xargs --max-args=1 -I {} --delimiter ' ' --max-procs=0 \
  sh -c ""wget -q -O- 'http://{}/somepage.html' | egrep --count '^string'"" | \
  { NUM=0; while read i; do NUM=$(($NUM + $i)); done; echo $NUM; }
",None
xargs grep suggestion,"grep -v ""\<Swap"" instruments.log | \
  awk '{ idx=index($0, ""MasterId="");
    masterId=substr($0, idx+length(""MasterId="")+1);
    masterId=substr(masterId,1,index(masterId,""L"")-3);
    print masterId; }' |\
  while read line; do
    grep -- ""$line"" rel.log
  done
",None
wrong xargs command,-L 1,"{ echo one; echo two; echo three; } | xargs -I{} echo test-{}
test-one
test-two
test-three
"
inner function call xargs parameters,"grep -R 'mystring' . | cut -d: -f 1 | uniq| xargs -n 1 -I {} -t -i ksh  -c ""touch /tmp/$(basename {})""
","grep -R 'mystring' . | cut -d: -f 1 | uniq | while read f; do touch ""/tmp/`basename $f`""; done
"
find images size find file awk,"find . -name '*.png' -exec file {} \; | sed 's/\(.*png\): .* \([0-9]* x [0-9]*\).*/\2 \1/' | awk 'int($1) > 500 {print}'
","exiftool -q -r -ext png -if '$ImageHeight > 500' -p '$Directory/$FileName' .
"
xargs using argument multiple commands,"echo 95 | xargs -n1 -I_percent -- sh -c '[ _percent -ge 95 ] && echo ""No Space on disk _percent% full -- remove old backups please""'
","myfunc(){
  [ ""$1"" -ge 95 ] && echo ""No Space on disk $1% full -- remove old backups please""
  echo ""Another command echoing $1""
}

export -f myfunc

echo 95 | xargs -n1 -I_percent -- sh -c 'myfunc ""_percent""'
"
piping nothing xargs,illegal option,None
print last contents line,cut -d/ -f6 file,"awk -F/ '{print $NF}' filename
"
find files subdirectories name exampledir,"find . -type f -path ""*/ExampleDir/*""
","find . -type d -name ""ExampleDir"" | xargs -I {}  find {} -type f
"
copying folder using xargs,"bundle show minima  | xargs -I{}  cp -r {}/* ./
",None
multiple commands sed xargs input,"sed -e ""s/:= *[0-9]+\.[0-9]+ *$/:= $var/g"" -e ""s/:= [0-9]+ *$/:= $var2/g""
",None
file name long error command stat,find ~ -type f -iregex '.*python.*\.pdf' -print0 | xargs -0 stat -x,None
bash script find files thinks file name integer,"#!/usr/bin/env bash

mapfile -t filelist < ~/tmp/filelist.txt

for file in ""${filelist[@]}""; do
    find ~ -name ""$file"" -exec cp --parents {} ~/tmp/dest/ \;
done
",None
ssh server rejected x forwarding request,AddressFamily inet,None
get index xargs parallel processor,"~ echo {1..9} | xargs -n2 -P2 --process-slot-var=index sh -c 'echo ""$index"" ""$@"" ""$$""' _
0 1 2 10475
1 3 4 10476
1 5 6 10477
0 7 8 10478
1 9 10479
",None
maintain sort order xargs gunzip,"find /opt/minecraft/wonders/logs/ -name '20*' -type f -mtime -3 -print0 |
  sort -z | xargs -r0 gunzip -vc | grep /opt
",None
add newline xargs,"find $PWD -name copyright | xargs awk 'BEGIN{ORS="",""} FNR==1{print ""\n""FILENAME}; $0 ~ /^License/ {print $0}' | sed 's/,$//g'  |awk -F',' 'NF>1'
",None
xargs aws cli amazon copy,"$ seq 0 93 | xargs -I {} date -d ""2017-01-01 {} days"" +%Y-%m-%d | xargs -I {} -P31 aws s3 cp s3://source_bucket/dt={}/ s3://dest_bucket/dt={}/ --recursive --no-progress",None
xargs n slow long lines,"| tr -s "" "" ""\n""",None
using sed replace environment variable directory path,"grep -w ""file_path ="" /home/pi/lightshowpi/config/state.cfg | sed 's/.*= //'| sed 's|'\$SYNC'|'/home/pi/sync'|' | xargs mp3info -p ""%a""
",None
get xargs show command lines generating without running,"$ echo a b c d e | xargs -n2 echo rm
rm a b
rm c d
rm e
",None
setgid binary permission mount right missing something please,sysctl fs/protected_hardlinks,None
ln sf silently fail,"$ ln -sfv blah blabla
'blabla' -> 'blah'
$ file blabla
blabla: broken symbolic link to 'blah'
",None
replace symbolic link equivalent hard link,"ln -f ""$(readlink <symlink>)"" <symlink>
",None
make symbolic link usr bin vim start parameters,"#!/bin/sh
exec vim <options you want> ""$@""
",None
bash variables disappear use xargs,<( ),None
use defined function xargs,"showword() {
  echo $1
}

export -f showword
echo This is a sample message | xargs -d' ' -t -n1 -P2 bash -c 'showword ""$@""' _
",None
combine xargs argument text,echo world | xargs -i echo hello{},None
perform xargs grep grep output spaces,"grep -r 'content pattern' --include==*.cpp
","find . -iname ""*.cpp"" | grep ""<pattern>"" | while read -r x; do grep exa ""$x""; done
"
